Unnamed: 0,task_name,role,goal,location,company_level,fred_category,user_intent,difficulty
1482,explain products or services and prices and demonstrate use of products.,Sales Representative,"Explain products or services and prices to potential customers, demonstrating their use.","Various locations such as retail stores, offices, exhibitions, etc.",Mid-level,Retail Trade,"To inform potential customers about the product features, benefits, pricing, and how to use it effectively.",Easy
1483,"explain products or services and prices, and answer questions from customers.",Customer Service Representative,"To explain products or services and prices, and answer questions from customers.","Online (e.g., website chat support, email communication)",Specialist,Retail Trade,The user wants to understand product information and ask about service details to make an informed decision or purchase.,Easy
1484,"explain proposed solutions to customers, management, or other interested parties through written proposals and oral presentations.",Sales/Marketing/Solutions Consultant,"Explain proposed solutions to customers, management, or other interested parties through written proposals and oral presentations.",Office environment,Specialist,Professional Services,To effectively communicate proposed solutions in a clear and convincing manner to various stakeholders for the purpose of gaining their support or approval.,Moderate
1485,"explain recommendations, policies, procedures, requirements, or other related information to residents or building owners.",Resident Services Representative or Building Manager,"Explain recommendations, policies, procedures, requirements, or other related information to residents or building owners.",Building Management Office,Specialist,Other Services,To provide clear and concise explanations of relevant building management policies and guidelines to residents and building owners for better understanding and compliance.,Moderate
1486,"explain rental fees, policies, and procedures.",Resident Services Officer,"To explain rental fees, policies, and procedures to potential or current tenants.",Office or Rental Property Management Office,Mid-Level,Retail Trade,The user wants to ensure that potential or existing renters understand the costs associated with renting a property and the administrative processes involved.,Moderate
1487,"explain services or policies to clients, such as debt management program rules, the advantages and disadvantages of using services, or creditor concession policies.",Client Services Representative or Policy Educator,"To explain services or policies to clients, including debt management program rules, service advantages and disadvantages, and creditor concession policies.","Various settings such as offices, client meetings, webinars, etc.",Specialist,Professional Services,To educate clients about services or policies related to debt management programs and creditor concession policies in a way that helps them understand the benefits and potential drawbacks of using these services.,Moderate
1488,explain stock market terms or trading practices to clients.,Financial Advisor,To explain stock market terms or trading practices to clients.,Office,Specialist,Financial Activities,To educate and inform clients about stock market terminology and trading practices in order to improve their investment knowledge and decision-making abilities.,Moderate
1489,explain survey objectives and procedures to interviewees and interpret survey questions to help interviewees' comprehension.,Surveys Coordinator/Interpreter,To explain survey objectives and procedures to interviewees and interpret survey questions for better understanding.,"Online or at the location of interviews (e.g., office, field, home)",Mid-Level,Information,To ensure clear communication of survey objectives and facilitate respondents' comprehension to obtain accurate data for analysis.,Moderate
1490,explain test procedures and safety precautions to patients and provide them with assistance during test procedures.,Medical Assistant or Healthcare Technician,To explain test procedures and safety precautions to patients and provide them with assistance during test procedures.,"Hospital, Clinic, or Laboratory Setting",Mid-Level,Healthcare Services,To ensure patient understanding of medical tests and to assist patients throughout the procedure for safety and comfort.,Moderate
1491,explain testing procedures to patients to obtain cooperation and reduce anxiety.,"Healthcare Professional (e.g., Nurse, Doctor, Patient Care Coordinator)",Explain testing procedures to patients in order to obtain cooperation and reduce anxiety,Hospital or Clinic,Mid-Level,Other Services,To educate and prepare patients for medical procedures to ensure their comfort and cooperation during the procedure.,Moderate
1492,"explain the origins and physical, social, or cultural development of humans, including physical attributes, cultural traditions, beliefs, languages, resource management practices, and settlement patterns.",Anthropologist,"To understand the origins and development of humans, including physical attributes, cultural traditions, beliefs, languages, resource management practices, and settlement patterns.",Academic or Research Environment,Specialist,Other Services,"The user is seeking to understand the historical and anthropological development of human species through various aspects such as physical attributes, culture, and social practices.",Moderate
1493,explain to claimants how they can appeal rulings that go against them.,Claims Adjuster,To educate and guide claimants on how to appeal unfavorable rulings in their claims process,Office setting within an insurance company or similar organization,Mid-level,Manufacturing,To ensure claimants are aware of the appeals process so they can potentially overturn a negative decision and receive the appropriate compensation.,Moderate
1494,explain to clients the personal financial advisor's responsibilities and the types of services to be provided.,Personal Financial Advisor,Explain the responsibilities of a personal financial advisor and the types of services to be provided to clients,Office or Client's Office,Specialist,Financial Activities,To inform clients about the role of a personal financial advisor and the types of financial services they offer.,Easy
1495,explain to customers how specific types of advertising will help promote their products or services in the most effective way possible.,Advertising Specialist,Explain how specific types of advertising can promote products or services effectively to customers,"Online (website, email, social media platforms, etc.)",Specialist,Retail Trade,To educate and inform potential clients about the most effective advertising methods for their products or services.,Moderate
1496,"explain to customers the different types of loans and credit options that are available, as well as the terms of those services.",Financial Advisor,Explain different types of loans and credit options to customers and their terms.,"Various locations such as banks, financial centers, online platforms, or physical branches.",Specialist,Other Services,To educate customers about various loan and credit products available in the market.,Moderate
1497,explain treatment procedures to patients to gain cooperation and allay fears.,Medical Practitioner,Explain treatment procedures to patients to gain cooperation and allay fears,Hospital or Clinic,Mid-Level,Health Care & Social Assistance,"To effectively communicate with patients about their medical treatments, ensuring they understand the process and feel comfortable participating in their care.",Moderate
1498,"explain treatment procedures, medications, diets, or physicians' instructions to patients.",Healthcare Professional,"To explain medical procedures, medications, diets, or physicians' instructions to patients.","Hospital, Clinic, Office",Specialist,Other Services,The user is trying to ensure that the patient understands their healthcare information for better compliance and understanding of treatment plans.,Moderate
1499,"extend existing software programs, web-based interactive tools, or database queries as sequence management and analysis needs evolve.",Software Developer,"Extend existing software programs, web-based interactive tools, or database queries as sequence management and analysis needs evolve.","Varies (can be in an office setting, or remotely for some roles)",Specialist,Information,The user is trying to ensure their software solutions are up-to-date and capable of handling evolving needs related to sequence management and analysis.,Moderate
1500,"fabricate, install, position, or connect components, parts, finished products, or instruments for testing or operational purposes.",Assembly Technician,"Fabricate, install, position, or connect components, parts, finished products, or instruments for testing or operational purposes.",Factory,Mid-Level,Manufacturing,To assemble and prepare equipment for testing or use in production processes.,Moderate
1501,"file and store completed documents on computer hard drive or disk, or maintain a computer filing system to store, retrieve, update and delete documents.",Office Administrator or Document Manager,"File and store completed documents on a computer system, maintain a filing system, manage document retrieval, update, and deletion processes.",Office,Mid-Level,Information,To organize and manage company documentation for efficient storage and retrieval.,Moderate
1502,"file, type, or operate standard office machines.",Office Worker,"Operate standard office machines to file, type or perform related tasks efficiently.",Office Environment,Professional,Manufacturing,The user wants to use standard office equipment for filing and typing documents to complete their work assignments.,Moderate
1503,"fill cracks, holes, or joints with caulk, putty, plaster, or other fillers, using caulking guns or putty knives.",Construction Worker,"Fill cracks, holes, or joints with appropriate materials using specific tools.",Worksite in a construction environment,Skilled Tradesperson,Construction,To repair and improve the structural integrity of surfaces by filling gaps and voids with suitable fillers.,Moderate
1504,"fill out and maintain client-related paperwork, including federal- and state-mandated forms, client diagnostic records, and progress notes.",Client Service Coordinator,"Fill out and maintain client-related paperwork, including federal- and state-mandated forms, client diagnostic records, and progress notes.",Office Environment,Mid-Level,Professional Services,To ensure accurate and compliant documentation of client interactions for regulatory purposes and to maintain comprehensive patient/client records.,Moderate
1505,"fit, alter, repair, and make made-to-measure clothing, according to customers' and clothing manufacturers' specifications and fit, and applying principles of garment design, construction, and styling.",Clothier/Clothing Technician,"Fit, alter, repair, and make made-to-measure clothing according to specifications and principles of garment design, construction, and styling.","Clothing manufacturing or retail environment (factory, store)",Specialist,Manufacturing,The user wants to ensure the clothes fit properly and are made according to their specifications by a skilled technician in the clothing industry.,Moderate
1506,follow ethical codes that protect the confidentiality of information.,Professional Employee,Follow ethical codes to maintain confidentiality of information,"Various work settings (e.g., office, hospital)",Mid-Level,Other Services,Ensure that sensitive and confidential information is protected according to professional standards and legal requirements,Moderate
1507,"follow recipes to produce food products of specified flavor, texture, clarity, bouquet, or color.",Food Product Developer,"To produce food products that meet specific quality standards for flavor, texture, clarity, bouquet, or color.",Production Facility/Factory,Specialist,Manufacturing,The user is trying to ensure the food products adhere to the required specifications and qualities as per recipe instructions.,Moderate
1508,"forecast and track marketing and sales trends, analyzing collected data.",Data Analyst,Forecast and track marketing and sales trends using collected data.,Office/Remote Work Environment,Specialist/Senior,Retail Trade,The user wants to analyze marketing and sales trends by utilizing the available data for future predictions and tracking purposes.,Moderate
1509,"formulate basic layout design or presentation approach and specify material details, such as style and size of type, photographs, graphics, animation, video, and sound.",Designer or Content Creator,Formulate basic layout design and specify material details for a project,"Not specified, can be any environment suitable for creative work (office, home, etc.)",Specialist,Information,"To create a basic design or presentation approach with specified material details such as type style and size, photographs, graphics, animation, video, and sound.",Moderate
1510,"formulate environmental plan to be practical, esthetic, and conducive to intended purposes, such as raising productivity or selling merchandise.",Environmental Planner,"Formulate an environmental plan that is practical, aesthetically pleasing, and beneficial for achieving specific objectives such as productivity enhancement or merchandise sales.","Various industries (e.g., manufacturing plants, retail shops, office buildings)",Specialist,Manufacturing,The user wants to create an environmental plan that meets aesthetic and practical standards while also contributing to the company's operational goals.,Moderate
1511,formulate general rules that describe and predict the development and behavior of cultures and social institutions.,Researcher or Academician,Formulate general rules that describe and predict the development and behavior of cultures and social institutions.,Academic/Research Setting,Expert,Other Services,To understand and model cultural and societal dynamics for academic or research purposes.,Very Hard
1512,"formulate herbal preparations to treat conditions considering herbal properties such as taste, toxicity, effects of preparation, contraindications, and incompatibilities.",Herbalist,"Formulate herbal preparations to treat conditions considering various factors such as taste, toxicity, effects of preparation, contraindications, and incompatibilities.",A laboratory or a clinic setting where herbal medicines are formulated and prescribed.,Specialist,Manufacturing,The user is trying to obtain formulations for herbal preparations that address specific health conditions with consideration given to the properties of herbs used.,Moderate
1513,"formulate mathematical models or other methods of computer analysis to develop, evaluate, or modify design, according to customer engineering requirements.",Engineering Analyst,"Formulate mathematical models or other methods of computer analysis to develop, evaluate, or modify design according to customer engineering requirements.","Various locations depending on the context (e.g., office, remote work)",Specialist,Manufacturing,To create and refine designs based on customer specifications using analytical methods and mathematical models.,Moderate
1514,"formulate mathematical or simulation models of problems, relating constants and variables, restrictions, alternatives, conflicting objectives, and their numerical parameters.",Mathematician or Data Scientist,"Formulate mathematical or simulation models to analyze problems involving constants, variables, restrictions, alternatives, conflicting objectives, and numerical parameters.","Various environments such as research labs, academic institutions, corporate settings, etc., depending on the specific context of each application.",Expert,Other Services,"To develop mathematical models for problem-solving in various fields including but not limited to engineering, economics, and operations research.",Expert
1515,formulate or implement sustainability campaign or marketing strategies.,Sustainability Campaign Specialist,Develop or execute marketing strategies focused on sustainability initiatives.,"Various locations across different industries, e.g., office environments in corporations or government buildings.",Specialist,Financial Activities,The user wants to initiate and implement sustainable marketing campaigns within their organization.,Moderate
1516,formulate or modify recipes for specific kinds of food products.,Chef or Food Product Developer,Formulate or modify recipes for specific kinds of food products.,Kitchen or Food Production Facility,Specialist,Manufacturing,Create new recipes or improve existing ones to produce various food items.,Moderate
1517,"formulate recommendations, policies, or plans to solve economic problems or to interpret markets.",Economic Analyst,"Formulate recommendations, policies, or plans to solve economic problems or interpret markets.",Office,Specialist,Financial Activities,The user was trying to generate recommendations and strategies for solving economic issues or analyzing market trends.,Moderate
1518,"formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",Marketing Manager,"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.","Various locations including offices and possibly in collaboration settings (e.g., client meetings, conferences)",Specialist/Senior,Professional Services,To manage marketing strategies and activities to promote products or services effectively.,Moderate
1519,furnish customers with information on events or activities.,Information Provider,Provide customers with information on events or activities.,"Various locations such as online platforms, physical stores, etc.",Specialist,Retail Trade,The user is seeking up-to-date information about upcoming events to engage in further interaction or participate.,Easy
1520,furnish taxpayers with sufficient information and advice to ensure correct tax form completion.,Tax Information Specialist,Provide taxpayers with sufficient information and advice to ensure correct tax form completion.,Office (or online platform for digital services),Specialist,Financial Activities,"To assist taxpayers in correctly filling out their tax forms, thus ensuring accurate tax payments and compliance with tax laws.",Moderate
1521,"gather and analyze research data, such as statutes, decisions, and legal articles, codes, and documents.",Legal Researcher,"Gather and analyze research data such as statutes, decisions, articles, codes, and documents for legal analysis or compliance.",Office or Legal Department,Specialist,Information,The user is attempting to gather and analyze legal documents for use in research or decision-making processes within the legal field.,Moderate
1522,"gather and compile geographic data from sources including censuses, field observations, satellite imagery, aerial photographs, and existing maps.",Geographic Data Analyst,"To gather and compile geographic data from various sources including censuses, field observations, satellite imagery, aerial photographs, and existing maps.",Office or Research Facility,Specialist,Other Services,The user was trying to gather comprehensive geographic data for a research project or planning purposes.,Moderate
1523,gather and organize information on problems or procedures.,Researcher or Information Manager,Gather and organize information on problems or procedures,Office/Workplace,Specialist,Information,"To gather and categorize information related to various problems and procedures for potential use in research, documentation, or improvement initiatives.",Moderate
1524,gather and organize information to plan advertising campaigns.,Marketing Coordinator,Gather and organize information to plan advertising campaigns.,Office,Mid-Level,Advertising and Related Services,To develop effective advertising strategies for the company's products or services.,Moderate
1525,"gather data from sources such as surface or upper air stations, satellites, weather bureaus, or radar for use in meteorological reports or forecasts.",Meteorologist,Gather data for meteorological reports or forecasts,"Various sources (surface or upper air stations, satellites, weather bureaus, radar)",Specialist,Information,To compile comprehensive weather information for accurate meteorological reports and forecasts.,Moderate
1526,"gather data on competitors and analyze their prices, sales, and method of marketing and distribution.",Marketing Research Analyst,"Gather data on competitors' prices, sales, and marketing methods to inform pricing strategies and competitive positioning.",Office environment with access to online resources for competitor research and analysis.,Specialist/Senior,Other Services,To gather market intelligence on competitors' performance and adjust their own marketing strategy accordingly.,Moderate
1527,"gather diagnostic data from sources such as case documentation, observations of clients, or interviews with clients or family members.",Diagnostic Data Collector,"To gather diagnostic data from various sources including case documentation, client observations, and interviews with clients or family members for analysis.","Various settings such as offices, hospitals, schools, etc., depending on the specific context of the task (e.g., client interviews might take place in a clinic, school classroom, or office setting).",Specialist,Professional Services,To compile comprehensive diagnostic data for use in making informed decisions and analyses.,Moderate
1528,gather financial documents related to investigations.,Finance Investigator,Gather financial documents related to investigations for compliance and evidence collection purposes.,"Various locations including but not limited to corporate headquarters, law offices, or government agencies where the investigation is being conducted.",Specialist,Financial Activities,The user wants to compile financial data for ongoing investigations and compliance checks.,Moderate
1529,"gather historical data from sources such as archives, court records, diaries, news files, and photographs, as well as collect data sources such as books, pamphlets, and periodicals.",Historical Researcher,"Gather historical data from various sources such as archives, court records, diaries, news files, and photographs; also collect data from books, pamphlets, and periodicals.","Various archival locations (e.g., libraries, museums), online databases, etc.",Specialist,Other,The user is trying to compile a comprehensive archive of historical data for academic or research purposes.,Moderate
1530,"gather information from caregivers, nurses, or physicians about patient condition, treatment plans, or appropriate activities.","Caregiver, Nurse, or Physician","Gather information about patient condition, treatment plans, or appropriate activities from caregivers, nurses, or physicians",Hospital or Healthcare Facility,Specialist,Health Care and Social Assistance,To obtain comprehensive information for effective care of patients.,Easy
1531,"gather information from doctors, schools, social workers, juvenile counselors, law enforcement personnel, and others to make recommendations to courts for resolution of child custody or visitation disputes.",Legal Specialist,Make recommendations to courts for resolution of child custody or visitation disputes based on gathered information from various professionals and experts,"Courtroom, Legal Offices, Or Any Location Required by the Courts or Experts",Specialist,Professional Services,Provide expert advice to resolve child custody or visitation disputes in a court setting based on input from various professionals.,Moderate
1532,gather information related to projects' environmental sustainability or operational efficiency.,Environmental or Operations Analyst,Gather information related to projects' environmental sustainability or operational efficiency,"Various locations where projects are being planned, executed, and evaluated",Specialist,Manufacturing,To gather data on the environmental impact and operational effectiveness of various projects for improvement purposes.,Moderate
1533,"gather intelligence information by field observation, confidential information sources, or public records.",Intelligence Analyst,Gather intelligence information for decision-making purposes,"Various locations including but not limited to offices, confidential facilities, and public records repositories",Specialist or Mid-Level,Other Services,"The user is trying to gather intelligence information through various means such as field observation, confidential sources, and public records for decision-making purposes.",Moderate
1534,"gather records pertinent to specific problems, review them for completeness and accuracy, and attach records to correspondence as necessary.",Record Keeper or Data Processor,"To gather, review, and attach records to correspondence for a specific problem resolution.",Office Environment,Mid-Level,Manufacturing,"The user aims to ensure that all pertinent records are collected, evaluated for completeness and accuracy, and appropriately attached to relevant communications concerning specific issues.",Moderate
1535,"gather, analyze, correlate, or evaluate information from a variety of resources, such as law enforcement databases.",Law Enforcement Officer or Analyst,"To gather, analyze, correlate, or evaluate information from various resources such as law enforcement databases for criminal investigations or policy development.","Law enforcement agency or intelligence unit within an organization (e.g., police department, government bureau)",Mid-level,Financial Activities,To gather and analyze data from law enforcement databases to support criminal investigations or inform policy decisions.,Moderate
1536,"generate lists of properties for sale, their locations, descriptions, and available financing options, using computers.",Real Estate Agent,"Generate lists of properties for sale, their locations, descriptions, and available financing options using computers.",Office or Home Office (depending on the agent's setup),Specialist,Retail Trade,To assist potential buyers in finding suitable properties with available mortgage options for sale listings.,Easy
1537,generate lists of properties that are compatible with buyers' needs and financial resources.,Real Estate Agent,Generate lists of properties that are compatible with buyers' needs and financial resources.,"Various real estate offices across the country potentially online or in physical locations like office spaces, virtual environments, etc.",Specialist,Retail Trade,The user aims to assist potential buyers by providing a list of suitable properties that meet their needs and financial limits within the real estate market.,Moderate
1538,generate or identify sales leads for green products and technologies.,Sales Representative or Marketing Specialist,Generate or identify sales leads for green products and technologies.,"Various locations including offices, online platforms, conferences, etc. where these products are distributed and marketed.",Specialist,Manufacturing,The user wants to increase the market presence of their company's green product line by generating potential customer leads.,Moderate
1539,generate solar energy customer leads to develop new accounts.,Salesperson,Generate solar energy customer leads to develop new accounts.,Various locations including but not limited to the sales office and client's premises or digital platforms.,Specialist,Retail Trade,The user was trying to generate potential customers for solar energy products in order to establish new business relationships.,Moderate
1540,"generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",Data Analyst or Business Intelligence Specialist,"Generate reports summarizing business, financial, or economic data for review by various stakeholders such as executives, managers, clients, and other interested parties.",Office environment with access to databases and reporting tools,Mid-level,Financial Activities,The user wants to provide comprehensive reports that help decision-makers understand key business performance indicators in a clear and concise manner.,Moderate
1541,give advice on sightseeing and shopping.,Visitor Service Representative,Provide recommendations for sightseeing and shopping to enhance visitors' experiences in a city or tourist area.,City or Tourist Area,Specialist,Retail Trade,The user is seeking advice on what sights to see and where to shop while visiting an urban area or tourist destination.,Moderate
1542,"grade food products according to government regulations or according to type, color, bouquet, and moisture content.",Quality Assurance Inspector for Food Products,"Grade food products based on government regulations and quality parameters like type, color, bouquet, and moisture content.",Food processing or manufacturing plant,Mid-level,Manufacturing,To ensure that the food products meet the required standards set by government regulations for safety and quality before they are packaged or distributed.,Moderate
1543,greet customers and ascertain what each customer wants or needs.,Customer Service Representative,Greet customers and determine their needs or wants.,"Retail store, grocery store, or any customer-facing environment like a restaurant or bank",Junior/Sales Associate Level,Retail Trade,To improve customer satisfaction by understanding the products/services customers seek and ensure they have what they need.,Easy
1544,greet customers and ask about the quality of service they are receiving.,Customer Service Representative,Greet customers and assess the quality of service they are receiving,"Store, Retail Center, Restaurant, or any environment where customer interaction occurs",Mid-Level,Retail Trade,To ensure satisfactory customer service experiences and gather feedback for improvement.,Moderate
1545,greet customers entering establishments.,Customer Service Representative,"Greet and provide initial interactions to customers entering establishments such as shops, restaurants, or other customer-facing environments.","Various retail, hospitality, and service industries where establishments are open for business and have entrances that customers can access.",Mid-level,Retail Trade,To ensure a positive first impression and facilitate seamless customer interactions within the establishment.,Easy
1546,"greet passengers, provide information, and answer questions concerning fares, schedules, transfers, and routings.",Customer Service Representative,"Greet passengers, provide information, and answer questions concerning fares, schedules, transfers, and routings.",Public transportation station or bus stop,Mid-level,Retail Trade,To ensure smooth passenger experiences by providing timely and accurate information about public transportation services.,Moderate
1547,greet visitors or callers and handle their inquiries or direct them to the appropriate persons according to their needs.,Receptionist or Front Desk Assistant,Greet visitors or callers and handle their inquiries or direct them to the appropriate persons according to their needs.,"Office, Hospital, School, Factory, etc.",Entry-level,Retail Trade,To efficiently manage visitor interactions and ensure smooth communication within an organization.,Easy
1548,"guide and counsel students with adjustment or academic problems, or special academic interests.",Educational Counselor,"Guide and counsel students with adjustment or academic problems, or special academic interests.",School,Specialist,Education and Health Services,To provide support to students facing challenges in their academic journey or those interested in pursuing specific fields of study.,Moderate
1549,guide clients in the development of skills or strategies for dealing with their problems.,Client Relationship Manager,Guide clients in the development of skills or strategies for dealing with their problems.,"Varys across different client environments (e.g., offices, homes, online platforms).",Specialist,Professional Services,The user was trying to provide guidance and support to clients on developing skills or strategies for managing their problems.,Moderate
1550,"guide clients in the gathering of information, such as bank account records, income tax returns, life and disability insurance records, pension plans, or wills.",Financial Advisor,Guide clients in the gathering of essential financial documents for their financial planning and decision-making processes.,"Client's Home or Office, Financial Institution (e.g., Bank)",Mid-Level,Financial Activities,"To assist clients in organizing their important financial documents to prepare for financial reviews, audits, and planning sessions.",Moderate
1551,hear and resolve complaints from customers or the public.,Customer Service Representative,To hear and resolve complaints from customers or the public effectively,"Various locations such as physical retail stores, customer service departments in offices, call centers, etc.",Mid-level,Retail Trade,To ensure customer satisfaction by addressing grievances and providing solutions to complaints from customers or the public effectively.,Moderate
1552,help develop or monitor family schedule.,Family Scheduler,help develop or monitor family schedule,Home Environment,N/A (Not applicable),Other Services,To manage and coordinate schedules for their family members to ensure all activities are organized and balanced.,Easy
1553,"help patrons find and use library resources, such as reference materials, audio-visual equipment, computers, and other electronic resources and provide technical assistance when needed.",Library Assistant,"Help patrons find and use library resources, such as reference materials, audio-visual equipment, computers, and other electronic resources and provide technical assistance when needed.",School or Public Library,Specialist,Education and Health Services,To assist patrons in utilizing library resources effectively and providing necessary technical support.,Moderate
1554,"help physicians, radiation oncologists, or clinical physicists to prepare physical or technical aspects of radiation treatment plans, using information about patient condition and anatomy.","Physician, Radiation Oncologist, or Clinical Physicist",To prepare physical or technical aspects of radiation treatment plans using information about patient condition and anatomy.,Hospital or Clinic,Specialist,Education and Health Services,To assist in the preparation of radiation therapy treatment plans for patients based on their medical condition and anatomical details.,Moderate
1555,help programmers and systems analysts test and debug new programs.,Programmer and Systems Analyst,Test and debug new programs,"Various work environments (e.g., office, remote)",Specialist or Mid-Level,Professional Services,The user is seeking assistance from a Programmer and Systems Analyst for testing and debugging their new programs.,Moderate
1556,"hold public meetings with government officials, social scientists, lawyers, developers, the public, or special interest groups to formulate, develop, or address issues regarding land use or community plans.",Land Use Planner,"Formulate, develop, or address issues regarding land use or community plans by holding public meetings with various stakeholders.","Public venues such as town halls, government buildings, or conference rooms for stakeholder meetings.",Specialist,Professional Services,The user was trying to engage stakeholders in the planning and development of land use and community plans.,Moderate
1557,"identify and analyze areas of potential risk to the assets, earning capacity, or success of organizations.",Risk Analyst,"Identify and analyze areas of potential risk to the assets, earning capacity, or success of organizations.","Various organizational settings such as offices, factories, etc.",Specialist,Financial Activities,To identify and assess risks that could affect the financial health and stability of an organization.,Moderate
1558,identify and analyze industry or geographic trends with business strategy implications.,Analyst or Strategist,Identify and analyze industry or geographic trends with business strategy implications,"Diverse (can be performed in various locations like offices, data centers, research labs, etc.)",Specialist,Other Services,To gain insights into current market conditions and trends that could influence business strategy and decision-making.,Moderate
1559,"identify and approve equipment and elements required for productions, such as scenery, lights, props, costumes, choreography, and music.",Production Coordinator,"Identify and approve equipment and elements required for productions, such as scenery, lights, props, costumes, choreography, and music.","Various production settings (theatres, studios, concert halls, etc.)",Mid-level,Manufacturing,To ensure that all necessary equipment and elements are in place for a successful production event or performance.,Moderate
1560,identify and build relationships with potential donors.,Fundraising Coordinator,Identify and build relationships with potential donors to increase funding for a cause or organization.,"Various locations including the office, donor meetings, events, etc.",Specialist/Senior,Other Services,To secure financial support from potential donors to fund their projects or initiatives.,Moderate
1561,"identify and classify documents or other electronic content according to characteristics such as security level, function, and metadata.",Data Analyst or Information Security Specialist,"Identify and classify documents or other electronic content based on security level, function, and metadata.","Various (can be performed in an office setting for digital files, but also extends to physical environments needing classification)",Specialist,Information,To ensure the proper handling and access control of electronic documents according to their sensitivity levels.,Moderate
1562,"identify and document goals, anticipated progress, and plans for reevaluation.",Individual or team (not specified as a specific role),"Identify and document goals, anticipated progress, and plans for reevaluation",Not specified in the task description,Not specified in the task description,Other Services,"To ensure clear documentation of project management elements including objectives, progress tracking, and future evaluation points.",Moderate
1563,identify and evaluate industry trends in database systems to serve as a source of information and advice for upper management.,Database Systems Analyst,Identify and evaluate industry trends in database systems to serve as a source of information and advice for upper management.,Office or remote work environment,Specialist,Information,To provide informed insights on industry trends in database systems to assist upper management in decision-making.,Moderate
1564,"identify and implement benefits to increase the quality of life for employees, by working with brokers and researching benefits issues.",Human Resources Specialist,"Identify and implement benefits to enhance the quality of life for employees, working with brokers and researching benefit issues.",Various locations including office spaces and possibly online platforms for research and communication with brokers.,Specialist,Financial Activities,To improve employee satisfaction and retention by offering suitable benefits that address their needs and enhance quality of life.,Moderate
1565,"identify and quantify drugs or poisons found in biological fluids or tissues, in foods, or at crime scenes.",Laboratory Scientist,"Identify and quantify drugs or poisons found in biological fluids or tissues, in foods, or at crime scenes.",Research Laboratory or Forensic Science Center,Specialist,Manufacturing,"To analyze samples for the presence of pharmaceuticals and illegal substances in various environments like biological fluids, food products, and crime scenes.",Moderate
1566,identify and recommend environmentally-friendly business practices.,Environmental Specialist or Sustainability Manager,Identify and recommend environmentally-friendly business practices to improve sustainability within the organization.,"Various work environments such as offices, factories, etc., depending on the company's operations and industry.",Specialist,Other Services,To implement sustainable business practices that reduce environmental impact while potentially improving the company's reputation and long-term viability.,Moderate
1567,identify and recruit potential volunteer workers.,Volunteer Coordinator,Identify and recruit potential volunteer workers for various community programs or events.,"Various locations depending on the type of event or program (e.g., schools, community centers, hospitals, etc.).",Specialist,Other Services,To find and engage individuals who are willing to contribute their time for free in support of various community-based initiatives.,Moderate
1568,identify and report problems in obtaining valid data.,Data Analyst,Identify and report issues with obtaining valid data.,"Diverse (could be in an office, online, etc.)",Specialist,Information,To ensure the reliability of the data they are using for their analysis or reporting purposes.,Moderate
1569,identify and report safety concerns to maintain a safe shopping and working environment.,Safety Inspector,Identify and report safety concerns to ensure a safe environment for shopping and working,"Various settings including retail shops, warehouses, factories, etc.",Specialist,Manufacturing,To maintain a secure work and shopping environment by identifying potential hazards and ensuring they are reported and addressed promptly,Moderate
1570,"identify and resolve conflicts related to the meanings of words, concepts, practices, or behaviors.",Conflict Resolution Specialist,"Identify and resolve conflicts related to meanings of words, concepts, practices, or behaviors.",Varies (can occur in any professional setting),Specialist,Professional Services,To address misunderstandings and disputes arising from ambiguous terminology or differing interpretations within a team or organization.,Moderate
1571,"identify and resolve equipment malfunctions, working with manufacturers or field representatives as necessary to procure replacement parts.",Equipment Technician,Identify and resolve equipment malfunctions by communicating with manufacturers or field representatives to obtain replacement parts when necessary.,Factory or industrial setting where the equipment is installed and operated.,Specialist,Manufacturing,"To ensure that all machinery operates correctly in an industrial environment, preventing downtime and maintaining productivity.",Moderate
1572,identify and respond to emergency physical or mental health situations.,Healthcare Professional,Identify and respond to emergency physical or mental health situations,"Hospital, Clinic, Emergency Room",Specialist,Health Care Services,To provide timely medical assistance and manage emergencies related to physical or mental health in a healthcare setting.,Moderate
1573,"identify and share research, recommendations, or other information regarding legal liabilities, risk management, or quality of care.",Healthcare Administrator or Legal Compliance Officer,"Identify and share research, recommendations, or other information regarding legal liabilities, risk management, or quality of care.",Hospital or Healthcare Facility,Specialist,Education and Health Services,"The user is trying to gather and disseminate information on legal liabilities, risk management, and quality of care in a healthcare setting.",Moderate
1574,identify and troubleshoot equipment problems.,Equipment Technician,Identify and resolve equipment malfunctions to maintain operational efficiency,Factory or Workshop,Specialist,Manufacturing,To ensure the smooth functioning of manufacturing equipment by diagnosing and repairing any issues that arise during production processes.,Moderate
1575,identify appropriate key performance indicators (kpis) and report key metrics from digital campaigns.,Data Analyst,Identify appropriate key performance indicators (KPIs) and report key metrics from digital campaigns.,Online and potentially across various digital platforms for campaign monitoring and reporting.,Specialist,Other Services,The user is trying to analyze and present the performance of their company's digital marketing efforts by identifying KPIs and metrics related to their campaigns.,Moderate
