Unnamed: 0,task_name,role,goal,location,company_level,fred_category,user_intent,difficulty
1757,"instruct individuals or groups in sports rules, game strategies, and performance principles, such as specific ways of moving the body, hands, or feet, to achieve desired results.",Sports Instructor or Coach,"Teach sports rules, game strategies, and performance principles to individuals or groups.","Not specified in the task description. It can be performed in various contexts like schools, gyms, training centers, etc.",Specialist,Leisure and Hospitality,"The user wants to provide instruction on sports rules, strategies, and performance principles to individuals or groups for educational or recreational purposes.",Moderate
1758,"instruct individuals or groups in the use of art media, such as paint, clay, or yarn.",Art Instructor or Educator,"Teach individuals or groups how to use art media such as paint, clay, or yarn.","Various locations including schools, community centers, and workshops.",Specialist,Education and Health Services,To impart knowledge about the techniques and materials used in visual arts to students or participants.,Moderate
1759,"instruct individuals, families, or other groups on topics such as health education, disease prevention, or childbirth and develop health improvement programs.",Health Educator or Health Promotion Specialist,"Instruct individuals, families, or other groups on topics such as health education, disease prevention, or childbirth and develop health improvement programs.","Various settings including schools, community centers, hospitals, clinics, etc.",Specialist,Education and Health Services,To provide educational support on health topics to improve public health outcomes.,Moderate
1760,"instruct others in program methods, procedures, or functions.",Training Instructors,"Teach others program methods, procedures, or functions.",Various locations including training environments and workspaces where instruction takes place.,Specialist,Professional Services,To train individuals in specific programming techniques and methodologies to improve their skills and effectiveness in their roles.,Moderate
1761,instruct others in the selection and use of bioinformatics tools.,Bioinformatics Specialist,Instruct others in the selection and use of bioinformatics tools.,"Laboratory, Office or Virtual Environment (depending on specific context)",Specialist,Information,To train and educate individuals about different bioinformatics tools for their effective use in various research projects or studies related to life sciences.,Moderate
1762,instruct participants in maintaining exertion levels to maximize benefits from exercise routines.,Exercise Instructor or Fitness Coach,Instruct participants in maintaining exertion levels to maximize benefits from exercise routines.,"A variety of settings including gyms, fitness centers, community centers, or during group exercise classes in schools and workplaces.",Specialist,Professional Services,The user was trying to improve the effectiveness and safety of participants' exercise routines by teaching them how to maintain proper exertion levels.,Moderate
1763,"instruct patrons on how to use reference sources, card catalogs, and automated information systems.",Reference Librarian,"Teach patrons how to use reference sources, card catalogs, and automated information systems.",Library or Information Center,Specialist,Information,The user was trying to ensure that patrons can effectively use the available resources for their research needs.,Moderate
1764,instruct staff on how to handle difficult and complicated sales.,Sales Staff,Train and instruct staff on how to effectively handle difficult and complicated sales situations.,"Various locations depending on the company's operations, such as retail stores, offices, or direct selling environments.",Mid-level,Retail Trade,The user intends to improve customer service skills for handling complex sales scenarios.,Moderate
1765,"instruct students in the knowledge and skills required in a specific occupation or occupational field, using a systematic plan of lectures, discussions, audio-visual presentations, and laboratory, shop and field studies.",Occupational Trainer,Teach students the knowledge and skills needed for a specific occupation or occupational field,School (possibly in vocational education settings),Specialist,Education Services,To prepare students for employment in a specific profession by providing them with theoretical and practical knowledge.,Moderate
1766,"instruct students individually and in groups, using various teaching methods such as lectures, discussions, and demonstrations.",Teacher or Instructor,"Instruct students individually and in groups, using various teaching methods such as lectures, discussions, and demonstrations.",School,Specialist,Education and Health Services,The user was trying to specify how they wanted their students to be taught in a school setting.,Moderate
1767,"instruct students individually and in groups, using various teaching methods, such as lectures, discussions, and demonstrations.",Teacher,"To instruct students individually and in groups using various teaching methods including lectures, discussions, and demonstrations.",School,Mid-level,Education and Health Services,The user was trying to accomplish the task of providing educational guidance and instruction for students in a school setting.,Moderate
1768,"instruct through lectures, discussions, and demonstrations in one or more subjects, such as english, mathematics, or social studies.",Teacher,"Instruct through lectures, discussions, and demonstrations in one or more subjects such as English, mathematics, or social studies.",School,Senior,Education and Health Services,"The user was trying to hire a teacher who can instruct students through various teaching methods like lectures, discussions, and demonstrations in subjects such as English, mathematics, or social studies.",Moderate
1769,"instruct trainees in how to use television production equipment, how to film events, and how to copy and edit graphics or sound onto videotape.",Training Instructors/Supervisors,"Teach trainees about television production equipment, filming techniques, and how to incorporate graphics or sound onto videotape.","Various locations where training occurs (e.g., classrooms, workshops, studios)",Mid-level,Professional Services,To prepare trainees for roles in television production by teaching them necessary skills and techniques.,Moderate
1770,"instruct users in the selection, use, and design of audio-visual materials and assist them in the preparation of instructional materials and the rehearsal of presentations.",Instructional Designer or Multimedia Specialist,"Instruct users on the selection, use, and design of audio-visual materials and assist them in preparing instructional materials and rehearsing presentations.","Various settings such as schools, training centers, corporate environments, etc.",Specialist,Professional Services,To enhance user engagement and effectiveness through the proper use of audio-visual content in various educational or professional contexts.,Moderate
1771,insulate shells and cabinets of systems.,Maintenance Technician,To insulate the shells and cabinets of systems to improve energy efficiency or prevent heat loss.,Factory/Manufacturing Plant,Specialist,Manufacturing,The user is trying to enhance the energy efficiency of the manufacturing plant by insulating system components.,Moderate
1772,"integrate and develop visual elements, such as line, space, mass, color, and perspective, to produce desired effects, such as the illustration of ideas, emotions, or moods.",Visual Artist or Designer,"To integrate and develop visual elements to produce desired effects such as illustration of ideas, emotions, or moods.","Varies depending on the context (e.g., studio, office, online environment)",Specialist,Professional Services,"To create visually appealing and expressive designs for various applications like illustrations, graphic design projects, etc.",Moderate
1773,integrate electrical systems with renewable energy systems to improve overall efficiency.,Electrical Engineer,To integrate electrical systems with renewable energy systems to improve overall efficiency.,Factory or Manufacturing Facility,Specialist,Manufacturing,The user was trying to implement a system integration plan that combines conventional electrical systems with renewable energy solutions to optimize energy usage and performance in the manufacturing setting.,Moderate
1774,"integrate environmental information into product or company marketing strategies, policies, or activities.",Marketing Specialist,"Integrate environmental information into product or company marketing strategies, policies, or activities.",Various locations as the task is not specific to a single location but rather applies across different environments where environmental information can be integrated into marketing strategies.,Specialist,Information,"To incorporate environmental considerations into their marketing strategy or company policies, thus potentially improving brand reputation and customer engagement with eco-friendly products or services.",Moderate
1775,"integrate nanotechnology with antimicrobial properties into products, such as household or medical appliances, to reduce the development of bacteria or other microbes.",Research and Development Engineer,Integrate nanotechnology with antimicrobial properties into products such as household or medical appliances to reduce microbial development.,"Factory or R&D lab, potentially in a hospital setting for medical appliances",Specialist,Manufacturing,Develop new antimicrobial products using nanotechnology for reducing bacterial growth and improving hygiene across various applications.,Hard
1776,integrate online retailing strategy with physical or catalogue retailing operations.,Retail Strategy Manager,Integrate online retailing strategy with physical or catalogue retailing operations to improve overall customer experience and operational efficiency.,"Various locations including stores, warehouses, etc., depending on the scale of the organization.",Mid-Level,Retail Trade,To optimize both online and offline retail channels for better business performance and customer satisfaction.,Moderate
1777,"integrate software or hardware components, using computer, microprocessor, or control architecture.",Software or Hardware Engineer,"Integrate software or hardware components using computer, microprocessor, or control architecture.","Various locations depending on the project scope and constraints, such as offices, factories, laboratories, etc.",Specialist,Manufacturing,"The user is trying to integrate software or hardware components using computer, microprocessor, or control architecture in order to improve system functionality or create new systems.",Moderate
1778,"interact with clients to assist them in gaining insight, defining goals, and planning action to achieve effective personal, social, educational, and vocational development and adjustment.",Client Service Specialist,"Assist clients in achieving effective personal, social, educational, and vocational development and adjustment.","Various contexts such as offices, schools, or other client-facing settings.",Specialist,Professional Services,To facilitate clients' progress towards their personal and professional goals through guidance and support.,Moderate
1779,"interact with the public to answer traffic-related questions, respond to complaints or requests, or discuss traffic control ordinances, plans, policies, or procedures.",Traffic Information Officer,"Interact with the public to answer traffic-related questions, respond to complaints or requests, or discuss traffic control ordinances, plans, policies, or procedures.","Various Public Places (e.g., city hall, community centers, street corners)",Specialist,Transportation,The user was trying to obtain information about traffic-related issues and regulations from the Traffic Information Officer.,Moderate
1780,interpret administrative and operating policies and procedures for employees.,Human Resources Specialist,Interpret administrative and operating policies and procedures for employees,Office,Specialist,Professional Services,To ensure employees understand and comply with the company's policies and procedures effectively.,Moderate
1781,"interpret and analyze policies, public issues, legislation, or the operations of governments, businesses, and organizations.",Policy Analyst,"Interpret and analyze policies, public issues, legislation, or the operations of governments, businesses, and organizations.","Various settings depending on the organization's industry (office, fieldwork, etc.)",Specialist,Professional Services,To gain insights into policies and organizational operations for better decision-making or research purposes.,Moderate
1782,interpret and communicate work procedures and company policies to staff.,Human Resources Specialist or Communication Officer,Interpret and communicate work procedures and company policies to staff effectively,Office or Corporate Environment,Specialist,Professional Services,"To ensure that all employees understand the work procedures and company policies, enhancing their productivity and compliance with the organization's standards.",Moderate
1783,"interpret and explain human resources policies, procedures, laws, standards, or regulations.",Human Resources Specialist,"Interpret and explain human resources policies, procedures, laws, standards, or regulations.","Various settings including office environments, as per the context of HR practices being applied.",Specialist,Professional Services,To understand and communicate various aspects of human resources policies and laws effectively to employees and management.,Moderate
1784,"interpret and explain information such as eligibility requirements, application details, payment methods, and applicants' legal rights.",Information Interpreter/Communicator,"To interpret and explain eligibility requirements, application details, payment methods, and applicants' legal rights to potential or current clients, employees, or customers.","Diverse (can be online platforms, physical offices, client meetings)",Specialist,Other Services,"The user aims to understand the terms and conditions related to applying for a service, making payments, or being eligible for various programs.",Moderate
1785,"interpret and explain plans and contract terms to representatives of the owner or developer, including administrative staff, workers, or clients.",Contract Interpreter,"To interpret and explain plans and contract terms to representatives of the owner or developer, including administrative staff, workers, or clients.","Various settings such as offices, construction sites, or client meetings",Specialist,Professional Services,To ensure that all parties involved understand contract terms and plans for successful project execution or agreement implementation.,Moderate
1786,"interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",Policy Interpreter,"To interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.","Various settings such as offices, governmental buildings, corporate headquarters, etc.",Specialist,Financial Activities,"To ensure that those receiving the interpretation understand and can apply the relevant policies, rules, regulations, or laws effectively.",Moderate
1787,interpret chemical reactions visible through sight glasses or on television monitors and review laboratory test reports for process adjustments.,Chemical Process Technician,Interpret chemical reactions observed visually and review laboratory test reports to make process adjustments,Laboratory or production facility in a factory setting,Mid-level,Manufacturing,The user is attempting to ensure the correct operation of chemical processes by interpreting visual observations and laboratory data.,Moderate
1788,interpret civil rights laws and equal opportunity regulations for individuals or employers.,Civil Rights and Equal Opportunity Specialist,Interpret civil rights laws and equal opportunity regulations for individuals or employers.,"Various work environments, including but not limited to offices where employees may need guidance on compliance with these laws and regulations.",Specialist,Professional Services,The user was trying to obtain guidance on civil rights and equal opportunity laws applicable to both individuals and employers in their organization or personal life.,Moderate
1789,interpret clinical or diagnostic test results.,Medical Laboratory Technician or Doctor,Interpret clinical or diagnostic test results to diagnose patient conditions and guide treatment decisions.,"Hospital or Clinic laboratory, office setting for doctors or clinics",Specialist,Health Services,To provide accurate diagnosis based on medical test results.,Moderate
1790,interpret contractual agreements for employers and employees engaged in collective bargaining or other labor relations processes.,Labor Relations Specialist,Interpret contractual agreements for employers and employees engaged in collective bargaining or other labor relations processes.,Office/Corporate Environment,Specialist,Professional Services,To ensure a clear understanding of the terms and conditions within contractual agreements between employers and employees for effective labor relations management.,Moderate
1791,"interpret data on logistics elements, such as availability, maintainability, reliability, supply chain management, strategic sourcing or distribution, supplier management, or transportation.",Logistics Analyst,"Interpret data related to logistics elements such as availability, maintainability, reliability, supply chain management, strategic sourcing or distribution, supplier management, or transportation.",Various settings including offices and possibly warehouses for hands-on analysis when needed.,Specialist,Manufacturing,"To understand the current state of logistics operations within their organization and identify areas for improvement in supply chain management, sourcing strategies, or transportation processes.",Moderate
1792,"interpret data on price, yield, stability, future investment-risk trends, economic influences, and other factors affecting investment programs.",Investment Analyst,"Analyze data on price, yield, stability, future investment-risk trends, economic influences, and other factors affecting investment programs.","Various settings such as offices, financial institutions, etc.",Specialist/Senior,Financial Activities,The user aims to gather comprehensive data for informed decision-making in investment strategies based on various economic and market factors.,Moderate
1793,"interpret data, reports, maps, photographs, or charts to predict long- or short-range weather conditions, using computer models and knowledge of climate theory, physics, and mathematics.",Weather Forecaster,"Predict long- or short-range weather conditions using computer models and knowledge of climate theory, physics, and mathematics.","Various locations such as offices, laboratories, etc., depending on the specific institution where they work (e.g., research institutions, universities, government agencies, private companies)",Specialist,Information,"To generate accurate weather forecasts for various applications including aviation, agriculture, and public safety.",Moderate
1794,interpret diagnostic or laboratory tests such as electrocardiograms (ekgs) and renal functioning tests.,Medical Interpreter or Diagnostic Specialist,Interpret diagnostic or laboratory tests such as electrocardiograms (EKGs) and renal functioning tests.,Hospital or Clinical Setting,Specialist,Health Services,To interpret medical test results accurately for healthcare professionals to make informed decisions about patient care.,Moderate
1795,interpret diagnostic test results for deviations from normal.,Medical Laboratory Scientist,Interpret diagnostic test results to identify deviations from normal and ensure accurate diagnoses.,Laboratory or Hospital setting,Specialist,Health Care & Social Assistance,To analyze diagnostic test results for potential abnormalities that may require further investigation in patients.,Moderate
1796,interpret diagnostic test results to make appropriate differential diagnoses.,Medical Doctor or Diagnostician,Interpret diagnostic test results to make appropriate differential diagnoses,"Hospital, Laboratory, Clinic",Expert,Health Care and Social Assistance,To accurately determine the most likely medical conditions based on patient test results for effective diagnosis and treatment planning.,Very Hard
1797,"interpret engineering drawings, schematic diagrams, or formulas for management or engineering staff.",Engineering Staff or Management,"Interpret engineering drawings, schematic diagrams, or formulas for management or engineering staff.","Varies (office, factory, etc.)",Specialist,Manufacturing,To understand technical information provided in drawings and formulas so that they can effectively communicate with other engineers or manage projects accordingly.,Moderate
1798,"interpret engineering drawings, sketches, or diagrams.",Engineer or Technical Specialist,"Interpret engineering drawings, sketches, or diagrams to understand design specifications and requirements for manufacturing or construction purposes.","Factory, Workshop, Office Space with Engineering Drawings",Specialist,Manufacturing,"To ensure accurate interpretation of engineering drawings, facilitating the proper execution of designs in various projects.",Moderate
1799,"interpret engineering sketches, specifications, or drawings.",Engineering Technician,"Interpret engineering sketches, specifications, or drawings to understand and implement design requirements in the manufacturing process.",Factory or production line environment where technical drawings are used for product design and implementation.,Specialist,Manufacturing,"To ensure that engineers' designs are accurately implemented in the production process, facilitating quality control and efficiency.",Moderate
1800,interpret exercise program participant data to evaluate progress or identify needed program changes.,Exercise Program Analyst,Interpret exercise program participant data to evaluate progress or identify needed program changes.,"Not specified in the task description, could be any environment where exercise programs are administered (e.g., gym, hospital, school).",Mid-level,Other Services,The user was trying to provide insights into an exercise program's effectiveness and suggest improvements based on participant data.,Moderate
1801,interpret flight test data to diagnose malfunctions and systemic performance problems.,Data Analyst,Interpret flight test data to diagnose malfunctions and systemic performance problems,Flight Testing Facility or Aerospace Research Lab,Specialist,Manufacturing,To identify and resolve issues in aircraft systems through analysis of test data.,Moderate
1802,interpret government regulations and applicable codes to ensure compliance.,Regulatory Compliance Officer,Interpret government regulations and applicable codes to ensure compliance.,"Various locations depending on the sector, such as government offices, corporate headquarters, or manufacturing plants.",Specialist,Manufacturing,To understand and comply with all relevant governmental regulations for a specific industry to avoid legal issues and ensure operational integrity.,Moderate
1803,interpret images using computer-aided detection or diagnosis systems.,Healthcare professional or technician,"Interpret medical images such as X-rays, MRIs, and CT scans for diagnostic purposes using computer-aided detection or diagnosis systems.","Hospital, clinic, imaging center",Specialist,Health Care,To accurately diagnose medical conditions by interpreting images produced by various diagnostic tools.,Moderate
1804,interpret imaging data and confer with other medical specialists to formulate diagnoses.,Medical Imaging Interpreter and Diagnostician,Formulate diagnoses based on interpreting imaging data and consulting with other medical specialists,"Hospital, Medical Center or Clinic",Specialist,Health Care,To obtain a comprehensive diagnosis for the patient by analyzing imaging data and collaborating with other healthcare professionals.,Moderate
1805,interpret indicators to ascertain the overall health of an environment.,Environmental Health Specialist,Interpret indicators to ascertain the overall health of an environment.,"Various settings such as parks, factories, and urban areas where environmental monitoring is necessary.",Specialist,Other Services,To assess and analyze environmental conditions to ensure they meet safety and health standards.,Moderate
1806,interpret instrument readings to ascertain the depth of obstruction.,Instrument Analyst,Interpret instrument readings to determine the depth of an obstruction,"Various industrial environments, including manufacturing facilities and laboratories",Specialist,Manufacturing,To assess the extent of obstructions detected by instruments in order to plan maintenance or repair activities.,Moderate
1807,interpret laboratory results and communicate findings to patients or physicians.,Laboratory Technician or Medical Laboratory Scientist,Interpret laboratory results and communicate findings to patients or physicians accurately and efficiently.,Hospital or Clinical Setting,Specialist,Health Care & Social Assistance,To ensure that laboratory test results are interpreted correctly and communicated effectively to healthcare professionals and patients for appropriate diagnosis and treatment decisions.,Moderate
1808,"interpret laws, rulings and regulations for individuals and businesses.",Legal Analyst,"Interpret laws, rulings and regulations for individuals and businesses.",Various locations including office spaces where legal analysis is conducted.,Specialist or Mid-Level (depending on the experience level of the analyst),Professional Services,"To ensure compliance with laws, rulings, and regulations for individuals and businesses, thereby avoiding legal issues and enhancing operations efficiency.",Moderate
1809,"interpret legal requirements, provide safety information, or recommend compliance procedures to contractors, craft workers, engineers, or property owners.",Legal Compliance Officer or Safety Manager,"Interpret legal requirements, provide safety information, recommend compliance procedures to various stakeholders (contractors, craft workers, engineers, property owners)","Varies depending on the specific context and projects (office, construction site, manufacturing plant, etc.)",Specialist or Mid-Level,Manufacturing,Ensure compliance with regulations and provide necessary safety information to stakeholders in order to protect personnel and adhere to legal standards.,Moderate
1810,"interpret or modify music, applying knowledge of harmony, melody, rhythm, and voice production to individualize presentations and maintain audience interest.",Musician or Composer,"To interpret or modify music, applying knowledge of harmony, melody, rhythm and voice production to individualize presentations and maintain audience interest.","Studio, Concert Hall, Home, Classroom (depending on context)",Expert,Information,To produce or enhance musical performances that engage the audience effectively using their knowledge of music theory and performance techniques.,Expert
1811,interpret or transcribe classroom materials into braille or sign language.,Interpreter or Sign Language Interpreter,"Interpret classroom materials into braille for visually impaired students, or translate spoken instructions and dialogue into sign language for deaf or hard-of-hearing students in a classroom setting.",School,Specialist,Education and Health Services,Provide accessibility to education for visually impaired and hearing-impaired students by facilitating communication in their preferred mode of expression.,Moderate
1812,interpret protocols and advise treating physicians on appropriate dosage modifications or treatment calculations based on patient characteristics.,Pharmacist,Interpret protocols and advise treating physicians on appropriate dosage modifications or treatment calculations based on patient characteristics.,"Hospital, clinic",Specialist,Professional Services,To provide medical advice to healthcare professionals regarding dosage adjustments for patients based on their specific conditions and needs.,Moderate
1813,interpret regulatory rules or rule changes and ensure that they are communicated through corporate policies and procedures.,Regulatory Compliance Officer,Interpret regulatory rules or rule changes and ensure they are communicated through corporate policies and procedures,Office,Specialist,Financial Activities,To ensure that the company's internal policies align with current regulatory requirements and communicate these to relevant departments.,Moderate
1814,"interpret religious education activities to the public through speaking, leading discussions, or writing articles for local or national publications.",Religious Educator or Public Speaker,"Interpret religious education activities to the public through various mediums such as speaking, leading discussions, or writing articles for local or national publications.","Local or National Publications (e.g., newspapers, magazines, websites)",Specialist,Information,To share and explain religious education activities with a broader audience through media channels.,Moderate
1815,interpret results of financial analysis procedures.,Financial Analyst,Interpret the results of financial analysis procedures to provide insights and recommendations for decision-making.,Office or Business Environment,Specialist,Financial Activities,To understand financial data and analyses so that they can inform business decisions and improve performance.,Moderate
1816,"interpret safety regulations for others interested in industrial safety such as safety engineers, labor representatives, and safety inspectors.",Safety Regulations Interpreter,"Interpret safety regulations for others interested in industrial safety such as safety engineers, labor representatives, and safety inspectors.","Various industrial settings (factories, plants, etc.)",Specialist,Manufacturing,To provide a clear understanding of safety regulations to people involved in the field of industrial safety.,Moderate
1817,"interpret test results and prepare psychological reports for teachers, administrators, and parents.",Clinical Psychologist or Psychological Consultant,"Interpret test results and prepare psychological reports for teachers, administrators, and parents.",School Setting,Specialist,Education and Health Services,"To provide comprehensive psychological evaluations and reports to educators, school administrators, and parents based on the results of psychological tests administered to students.",Moderate
1818,"interpret the results of neuroimaging studies such as magnetic resonance imaging (mri), single photon emission computed tomography (spect), and positron emission tomography (pet) scans.",Neuroimaging Interpretation Specialist,"To interpret results from neuroimaging studies including MRI, PET, and SPECT scans to aid in diagnosis and treatment planning for neurological conditions.",Hospital or Medical Facility,Specialist,Health Care,To provide accurate interpretation of neuroimaging results to support medical professionals in diagnosing and treating patients with neurological issues.,Moderate
1819,interpret the results of standardized tests to determine students' strengths and areas of need.,Educational Testing Interpreter,Interpret the results of standardized tests to determine students' strengths and areas of need.,School or Education Center,Specialist,Education and Health Services,To understand students' educational performance and identify their academic needs for personalized support and instruction.,Moderate
1820,"interpret transportation or tariff regulations, shipping orders, safety regulations, or company policies and procedures for workers.",Transportation or Regulatory Compliance Specialist,"Interpret transportation or tariff regulations, shipping orders, safety regulations, or company policies and procedures for workers.","Various locations (e.g., office, warehouses) depending on the specific tasks and requirements of the job role",Specialist,Manufacturing,To ensure compliance with various regulations and company policies related to transportation and worker safety.,Moderate
1821,"interpret, translate, or provide cultural mediation related to health services or information for community members.",Interpreter/Translator/Cultural Mediator,"Interpret, translate, or provide cultural mediation related to health services or information for community members","Community Setting (e.g., clinic, community center, etc.)",Specialist,Education and Health Services,To bridge language barriers and cultural differences in providing health-related services to diverse communities effectively.,Moderate
1822,interview clients and take their calls to provide customer service and obtain information on claims.,Customer Service Representative,Provide customer service and obtain information on claims for clients.,"Various locations where the client base is located, such as homes or offices.",Specialist,Retail Trade,The user wanted to hire someone capable of handling customer inquiries and gathering claim details through phone calls.,Easy
1823,interview clients to determine what kinds of properties they are seeking.,Sales Representative or Client Manager,Determine client property needs for potential sales or service offerings,"Anywhere, such as a business office, client's premises, or online platforms",Specialist,Retail Trade,To gather information about clients' property requirements to provide appropriate services or products.,Easy
1824,"interview clients to obtain information about employment history, educational background, and career goals, and to identify barriers to employment.",Client Interviewer,Collect detailed information from clients for employment support and analysis purposes.,"Various locations (e.g., offices, homes) as part of client outreach activities.",Specialist or Mid-level,Professional Services,To gather comprehensive data on clients' employment backgrounds to help improve career services and support.,Moderate
1825,"interview clients, review records, conduct assessments, or confer with other professionals to evaluate the mental or physical condition of clients or patients.","Healthcare Professional (e.g., Psychologist, Nurse, Social Worker)",Evaluate the mental or physical condition of clients or patients,"Hospital, Clinic, Private Practice, Community Center",Professional Services,Health Care and Social Assistance,To assess the health conditions of their clients or patients to provide appropriate care or treatment recommendations.,Moderate
1826,"interview individuals, and research public databases in order to obtain information.",Researcher,Obtain information through interviews and public databases research,"Various locations including offices, hospitals, schools, and public databases",Specialist,Information,To gather data for a project or report from various sources.,Moderate
1827,"interview job applicants to obtain information on work history, training, education, or job skills.",Interviewer,"Obtain information on work history, training, education, or job skills from job applicants.","Various locations depending on the setting of the interview (e.g., office, remote, in-person interviews), typically within a company context.",Specialist,Professional Services,To evaluate candidates' qualifications and experience for potential employment opportunities.,Moderate
1828,interview people to gather information about historical events and to record oral histories.,Interviewer,Gather information about historical events and record oral histories,"Various locations (public spaces, homes, community centers)",Specialist,Other Services,Collect personal stories and historical details for future reference or publication.,Moderate
1829,"interview prospective clients to obtain data about their financial resources and needs, the physical condition of the person or property to be insured, and to discuss any existing coverage.",Insurance Salesperson or Consultant,Collect necessary information from prospective clients for insurance purposes,"Office, possibly in a client's home if remote appointments are allowed",Specialist,Other Services,"The user was trying to gather data about potential insurance clients' financial resources and needs, as well as the specifics of what they wish to insure.",Moderate
1830,interview subject matter experts or conduct other research to develop instructional content.,Instructional Content Developer,Develop instructional content through interviews with subject matter experts and other research methods,Varys (can be in any location depending on the availability of experts or resources),Specialist,Education and Health Services,To create educational materials by interviewing professionals with relevant expertise to ensure content is accurate and up-to-date.,Moderate
1831,introduce performances and performers to stimulate excitement and coordinate smooth transition of acts during events.,Event Coordinator,To introduce performances and performers to stimulate excitement and coordinate smooth transition of acts during events.,Events venue or stage area,Mid-Level,Entertainment and Recreation,To ensure a seamless event experience with engaging performances and efficient act transitions.,Moderate
1832,introduce plays and meet with audiences after shows to explain how the play was interpreted.,Play Interpreter,Introduce plays and provide interpretations to audiences after shows.,Theater or performance venue where the play is being performed.,Specialist,Other Services,To educate audiences about how the play was interpreted and understand their reactions post-performance.,Moderate
1833,"invent names for products and write the slogans that appear on packaging, brochures and other promotional material.",Product Name and Slogan Creator,"Invent product names and write slogans for packaging, brochures, and other promotional materials.","Various locations depending on the context of the task (e.g., office, digital workspace)",Specialist or Mid-Level,Advertising and Marketing Services,To enhance product visibility and appeal through unique names and slogans in different marketing materials.,Moderate
1834,investigate activities of institutions to enforce laws and regulations and to ensure legality of transactions and operations or financial solvency.,Legal Compliance Officer or Auditor,"Investigate the activities of institutions to ensure they are in compliance with laws and regulations, verify legality of transactions and operations, and check financial solvency.","Various locations including but not limited to corporate offices, banks, financial institutions, government agencies, and other regulated entities.",Specialist,Financial Activities,"To ensure that the financial activities of an organization are in line with applicable laws and regulations, thus promoting a safe and reliable business environment for stakeholders.",Moderate
1835,"investigate and resolve complaints regarding food quality, service, or accommodations.",Customer Service Representative,"Investigate and resolve complaints regarding food quality, service, or accommodations.",Restaurant or hospitality establishment,Mid-level,Retail Trade,"To address customer dissatisfaction with food quality, service, or accommodations to maintain positive customer relationships and improve overall satisfaction.",Moderate
1836,investigate and resolve personnel problems within organization and charges of misconduct against staff.,Human Resources Specialist,Investigate personnel problems and address misconduct in the organization,"Office environment, corporate setting",Mid-level,Professional Services,To resolve internal issues related to employee behavior within the company,Moderate
1837,"investigate characteristics such as cost, performance, or process capability of potential microelectromechanical systems (mems) device designs, using simulation or modeling software.",Engineer,"Investigate characteristics such as cost, performance, or process capability of potential microelectromechanical systems (MEMS) device designs using simulation or modeling software.",Laboratory/Workshop,Specialist,Manufacturing,To evaluate the suitability and viability of different MEMS device design concepts through simulations to inform product development decisions.,Moderate
1838,investigate child abuse or neglect cases and take authorized protective action when necessary.,Child Welfare Investigator,Investigate potential child abuse or neglect cases and take authorized protective action when necessary.,"Varies, typically in a government agency setting such as Child Protective Services (CPS)",Specialist/Senior Specialist,Other Services,To identify and address child abuse or neglect cases to ensure the safety and well-being of children.,Moderate
1839,"investigate complaints, disturbances and violations and resolve problems following management rules and regulations.",Complaint and Violation Investigator,"Investigate complaints, disturbances, and violations and resolve problems following management rules and regulations.","Various organizational settings including offices, facilities, etc.",Specialist,Other Services,The user aims to ensure compliance with policies and address issues in their organization by investigating complaints and violations.,Moderate
1840,investigate customer or public complaints to determine the nature and extent of problems.,Customer Service Representative,Investigate customer or public complaints to determine the nature and extent of problems.,"Various locations including online platforms, physical stores, or call centers depending on organization's setup.",Mid-level (or specialist in service-oriented companies),Retail Trade,To identify and address customer concerns to improve satisfaction and prevent similar issues from arising in the future.,Moderate
1841,investigate equipment failures or difficulties to diagnose faulty operation and recommend remedial actions.,Equipment Technician,Diagnose and recommend remedial actions for equipment failures or difficulties to ensure efficient operation.,"Factory, Workshop, Maintenance Area",Specialist,Manufacturing,To maintain the reliability of production machinery by identifying issues and proposing solutions.,Moderate
1842,investigate illegal or suspicious activities.,Law Enforcement Officer or Compliance Investigator,To investigate potential illegal or suspicious activities for compliance and legal purposes.,"Varys across different locations depending on the context (e.g., office, internet-based investigations)",Specialist or Senior Level,Financial Activities,To identify and report potential illegal activities for regulatory compliance and legal proceedings.,Moderate
1843,"investigate known or suspected internal theft, external theft, or vendor fraud.",Security Analyst,"Investigate potential internal, external, or vendor fraud activities","Various locations depending on the scope of investigation (e.g., office, data centers, company premises)",Specialist,Financial Activities,"To identify and prevent financial fraud within the organization from various sources such as employees, external parties, or vendors",Moderate
1844,investigate or test specific construction project materials to determine compliance to specifications or standards.,Material Inspector or Quality Control Technician,Investigate or test specific construction project materials to determine compliance to specifications or standards.,"Construction Site, Laboratory (if testing in a laboratory setting)",Specialist,Manufacturing,Ensure that the construction materials meet the required specifications and standards for safety and quality control during the project.,Moderate
1845,investigate product complaints and prepare documentation and submissions to appropriate regulatory agencies as necessary.,Product Complaint Investigator,Investigate product complaints and prepare documentation and submissions to appropriate regulatory agencies as necessary.,Office/Workplace,Specialist,Financial Activities,The user is trying to ensure that all product complaints are properly investigated and reported to the relevant regulatory bodies.,Moderate
